Year: 2011
                                  bak  ara  fra   dan  kor  afr-za  swe     ind  eng  mkd  bel  ukr  deu  rus   ces  pam  lav   afr  bul  ina  xho-za  ara-ps   msa  oss  rus-kz   hun    tur  eng-ai  hat    cat  bcl  est   ita  eng-ca  ltz  tam   ron  sun  eng-ag  eng-gs  fas  nob  ido  dan-gl  nno  slk-sk  gsw  new  srp  pus  tgk  bos  uzb  glg  wln   pol  div    spa  eng-ki  tat  ara-tn  ara-sy  scn   lus  eng-ac  kal-gl    fin  cym  cos  lug  eng-za  ell  che  kaz  nob-no  mlg   vie  hbs-rs  por-br  fra-bf  kal  kir  ceb  dan-dk   hin  heb  bre  rus-md  mon  gle  pnb  eus   isl  ben  kan  tha  mlt  spa-ec  guj    hrv  hye  ces-eu  slv-si  ben-bd  epo  sin  nso  lat  urd  eng-gi  deu-ch  cat-ad  fao  hif  sna-zw  ara-bh  eng-fj  min  fry   som  swa  sah  chv  spa-uy  zul  lim  eng-gm  tel  bpy   slv  por-pt  vec  zho-simp-tw  jpn  spa-cr  azj  fra-gp  eng-uk  sna  cmn  deu-be  deu-at  por-an  kat  eng-eu  pms  yid  eng-bm  spa-co  amh  gom  eng-gp  eng-bn  vol  uig  hsb  als-al  aze  hye-am  jav  mal    por  hbs  als  que  oci  mar  nld  por-mo  ara-ae  roh  ilo  swh  deu-hu  ron-md  zho-trad  eng-nz   lit   slk  lmo  zul-za  mri  deu-lu  eng-au  ekk  nep  pes-ir   tgl
United Kingdom                      8    1    0   864    0       0    0    2594    0    2   10    6    0    0   133   50    6   110   17    0       0       0   560    0       0   456     36       0    0    119    6  161   284       0    0   22   574    0       0       0    7    0    0       0    0       0    0    0    0    0   33   98   17    7    0   264    0   1714       0    0       0       0    0   100       0       0    110    0    0    0    2004  310    0    0       0    3  1306       0     448       0    4    4    6       0    11  153    0       0    2   34    0    3  2888    6    8    2    4       0    0    492    0       0       0       0   84    6    0    0  392       0       0       0    0   20       0       0       0    0    0   315    4    1    0       0    0    4       0    1    0   334    2346    0            0    0       0    0       0       0    0    0       0       0       0    6       0    0    0       0       0    0   16       0       0   39    0    0       0    0       0   58    0     84    0    0    0    0    0    0     859       0    0    0   75       0       0       338       0    35   162    0       0   30       0       0    0    0       0   157
Germany                            15    7    0  1377    0       0    0    3457    0    6   11   17    0    0   244   87  108   294    6    0       0       0   240    0       0   821    802       0    6    607   39  130   602       0    0   19  3553    0       0       0   33    0    0       0    0       0    0    0    0  178   15  211   38   25    0   551    0   3302       0    0       0       0    0   125       0       0    189    0    0    0    1421  205    0    0       0    7  2285       0     830       0    3    3  102       0     8   89    0       0    0   62    0   13  1325   39    8    3   15       0    0    782    6       0       0       0  315   27    0    0    8       0       0       0    0   78       0       0       0    0    0   178    1    0    0       0    0   57       0    0    0   528    1827    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    4       0       0   95    0    0       0    0       0   55    0    240    0    0    0    0    0    0     911       0    0    0  169       0       0      1211       0    79   496    0       0    0       0       0    0    0       0    61
United States                      25    6    0  1796    0       0    0    6029    0   72  598   77    0    0  1833  394  258   511   94    0       0       0   430    0       0  1640    341       0   22    916  357  915  2726       0    0   53  4979    0       0       0   88    0    0       0    0       0    0    0    0   12   45  616    0  119    0  4686    0  34587       0    0       0       0    0    98       0       0   1803    0    0    0    2548  798    0   23       0   70  3912       0    2130       0    0   16  309       0    12  339    0       0   18  178    0   13  5481  132   12    6    6       0    0   2420   54       0       0       0  827  189    0    0    0       0       0       0    0  159       0       0       0    0    0   116   18    3    0       0    0  156       0    0    0  2538    3208    0            0    0       0    0       0       0    0    0       0       0       0    8       0    0    0       0       0    0    6       0       0  192    0    0       0    0       0  142    0   1552    0    0    0    0    0    0    4141       0    0    0  187       0       0      5253       0   274  3179    0       0   24       0       0    0    0       0  7189
Nigeria                             0    1    0    47    0       0    0     127    0    0    0    5    0    0    30    0    3    22    1    0       0       0    10    0       0    29     15       0    0     21   17   10    58       0    0    0  1211    0       0       0    1    0    0       0    0       0    0    0    0    0    0  116    0   10    0    11    0    758       0    0       0       0    0     3       0       0  14343    0    0    0      94   46    0    0       0    1    38       0      16       0    0    0   12       0     0   14    0       0    0    5    0   10    30    0    0    0    0       0    0    155    0       0       0       0   96    0    0    0    0       0       0       0    0   10       0       0       0    0    0    14    3    1    0       0    0   17       0    0    0    25      79    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    2       0       0   17    0    0       0    0       0    4    0     84    0    0    0    0    0    0       4       0    0    0   84       0       0        14       0  2657    28    0       0    0       0       0    0    0       0   223
France                              0    2    0   715    0       0    0    1502    0    8    8   10    0    0   191   69   18    50    9    0       0       0   212    0       0   238    215       0   13     72    5  181   190       0    0    6  2957    0       0       0    7    0    0       0    0       0    0    0    0    7    4   69    0   19    0   145    0   1404       0    0       0       0    0    40       0       0    162    0    0    0     504  165    0    0       0  559  1388       0     530       0    0    2  293       0     0   66    0       0    0   19    0    7   617   30    5    1   17       0    0    407    5       0       0       0  380    5    0    0    0       0       0       0    0   13       0       0       0    0    0    44    4    0    0       0    0   24       0    0    0   234    1851    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    4       0       0   52    0    0       0    0       0   51    0    699    0    0    0    0    0    0     804       0    0    0   38       0       0      1666       0    84   396    0       0    3       0       0    0    0       0   155
South Korea                         0    3    0   144    0       0    0    1616    0    6   15    3    0    0    15   36   21     9    0    0       0       0   306    0       0     3      3       0    0      9    0   20    60       0    0    0   214    0       0       0    0    0    0       0    0       0    0    0    0    0    0    7    2    0    0   184    0    618       0    0       0       0    0    25       0       0     21    0    0    0      64   17    0    0       0    3  1665       0     250       0    0    9   21       0     3    0    0       0    3   14    0    0    98    0    0    9    0       0    0     55    0       0       0       0   73   15    0    0    0       0       0       0    0   15       0       0       0    0    0    12    0    0    0       0    0   27       0    0    0    45     403    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    9       0       0    2    0    0       0    0       0   30    0     44    0    0    0    0    0    0     598       0    0    0    9       0       0      1621       0    13    14    0       0    0       0       0    0    0       0   105
Indonesia                           0    0    0    68    0       0    0  151926    0    0    1    0    0    0    42   12    8    15    1    0       0       0  1220    0       0    57     17       0    0     21   53   18    39       0    0    2   120    0       0       0    2    0    0       0    0       0    0    0    0    0    1   15    1    3    0    29    0    273       0    0       0       0    0     2       0       0     16    0    0    0      83   12    0    0       0   12   292       0      39       0    0    0   14       0     2    8    0       0    0    1    0    2    65   11    0    0    0       0    0     23    0       0       0       0   80    0    0    0    0       0       0       0    0   11       0       0       0    0    0    15    3    0    0       0    0   12       0    0    0    37      85    0            0    0       0    0       0       0    0    0       0       0       0    1       0    0    0       0       0    0    7       0       0    6    0    0       0    0       0  882    0     55    0    0    0    0    0    0     140       0    0    0   12       0       0       442       0     5    88    0       0    4       0       0    0    0       0    90
Turkey                             29    0    0   171    0       0    0    1340    0    2    0    0    0    0    75    0   12     8    3    0       0       0   330    0       0    98  11574       0    0     46    0   19    94       0    0    1  2227    0       0       0    4    0    0       0    0       0    0    0    0    0    3  232   11    1    0    67    0    429       0    0       0       0    0     1       0       0     38    0    0    0      87   57    0    0       0    1   123       0      32       0    0   13   12       0     0   32    0       0    0    2    0    1    82   12    0    0    0       0    0    145   12       0       0       0   81    0    0    0    0       0       0       0    0   20       0       0       0    0    0     8    0    0    0       0    0   10       0    0    0    42     277    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    7    0    0       0    0       0   46    0      4    0    0    0    0    0    0      43       0    0    0   49       0       0        69       0    26   166    0       0    0       0       0    0    0       0    24
China                               0    0    0   325    0       0    0    2433    0   24    5    3    0    0   134   92   48    88    5    0       0       0   424    0       0   106     42       0    0     45    0   72   254       0    0    5   864    0       0       0    9    0    0       0    0       0    0    0    0    2    2   38    0    4    0   149    0   2083       0    0       0       0    0    27       0       0     36    0    0    0     239   94    0    0       0   61   236       0     356       0    0    5   77       0     6   29    0       0    0   19    0    1   284    0    1   12    0       0    0     69   21       0       0       0  663   21    0    0    0       0       0       0    0    7       0       0       0    0    0    14    3    0    0       0    0   11       0    3    0    54     769    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    9       0       0    1    0    0       0    0       0   30    0    175    0    0    0    0    0    0    6043       0    0    0   31       0       0      8504       0    16    56    0       0    4       0       0    0    0       0   462
Democratic Republic of the Congo    0    0    0     6    0       0    0      12    0    0    0    0    0    0     3    0    6     6    0    0       0       0     0    0       0     1      0       0    0      5    7    1    16       0    0    0    53    0       0       0    1    0    0       0    0       0    0    0    0    0    0    0    0    0    0     0    0     59       0    0       0       0    0     0       0       0      0    0    0    0       1    1    0    0       0    0     1       0       0       0    0    0    7       0     0    0    0       0    0    0    0    0    13    0    0    0    0       0    0      1    0       0       0       0   30    4    0    0    0       0       0       0    0    0       0       0       0    0    0     1    0    0    0       0    0    0       0    0    0     2       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0      2    0    0    0    0    0    0       1       0    0    0    6       0       0         4       0     0     4    0       0    0       0       0    0    0       0   210
Ecuador                             0    0    0    26    0       0    0      50    0    0    0    0    0    0     4   10   10     4    0    0       0       0     0    0       0     8      0       0    0     12    0    0    30       0    0    0    20    0       0       0    0    0    0       0    0       0    0    0    0    0    0    2    0    0    0     6    0   3706       0    0       0       0    0     0       0       0      0    0    0    0       0    4    0    0       0    0    18       0     136       0    0    0   28       0     0    0    0       0    0    2    0    0    30    0    0    0    0       0    0      4    0       0       0       0   28    0    0    0    0       0       0       0    0   28       0       0       0    0    0     0    0    0    0       0    0    0       0    0    0     2      28    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    2    0    0       0    0       0    4    0     84    0    0    0    0    0    0      24       0    0    0    0       0       0        18       0     0    12    0       0    0       0       0    0    0       0     2
India                               0    0    0   282    0       0    0    5572    0    0    2    3    0    0    66  917   25    88    0    0       0       0   452    0       0    55     36       0    2     80   74  149   323       0    0  765   745    0       0       0    7    0    0       0    0       0    0    0    0   10    2   14    2   16    0   120    0   1477       0    0       0       0    0  3467       0       0     48    0    0    0     471   25    0    1       0   41   725       0      76       0    3    0   37       0  1998   26    0       0    0   22    0    2   278  274   53    0    0       0   61     84    0       0       0       0  410   66    0    0    6       0       0       0    0  715       0       0       0    0    0    23    2    0    0       0    0    5       0    2    0    66     354    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0  582       0       0    8    0    0       0    0       0  112   46    130    0    0    0    0    2    0     500       0    0    0   53       0       0       538       0    35    71    0       0    6       0       0    0    0       0    51
Brazil                              0    0    0    35    0       0    0      91    0    0    0    0    0    0    31   14   19    12    0    0       0       0     8    0       0    34      2       0    0     62   14   11   147       0    0    0   154    0       0       0    0    0    0       0    0       0    0    0    0    7    0    4    0    8    0    53    0   1227       0    0       0       0    0     3       0       0     18    0    0    0      23   14    0    0       0    0    87       0   49525       0    0    0   27       0     0   15    0       0    0   28    0    1    72    9    0    0    0       0    0     22    0       0       0       0  457   34    0    0    0       0       0       0    0   38       0       0       0    0    0     1    0    1    0       0    0    2       0    0    0    22    1882    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0  133    0    0       0    0       0    8    0  28788    0    0    0    0    0    0     754       0    0    0   12       0       0         3       0     0    67    0       0    0       0       0    0    0       0     5
Mexico                              0    0    0   163    0       0    0     234    0    0    0    2    0    0    89   51   26     4    1    0       0       0    36    0       0    52      8       0    0    181   22   21   186       0    0    0   369    0       0       0    6    0    0       0    0       0    0    0    0    6    0   31    0   16    0    85    0  42846       0    0       0       0    0     0       0       0     36    0    0    0      50   29    0    0       0    6   174       0     146       0    0    0   32       0     0   32    0       0    0    8    0   13    93   20    0    0    0       0    0     21    0       0       0       0  637    8    0    0    0       0       0       0    0   34       0       0       0    0    0     1    0    0    0       0    0    2       0    0    0    33     156    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0   19    0    0       0    0       0    3    0    177    0    0    0    0    0    0      53       0    0    0   48       0       0       144       0    20   150    0       0    0       0       0    0    0       0   146
Japan                              13    4    0   414    0       0    0    3154    0    0    0   28    0    0    32   85   19    59   14    0       0       0   258    0       0   110     76       0    3    255   52  267   694       0    0   17  1109    0       0       0    0    0    0       0    0       0    0    0    0    2    0  241    0    3    0   191    0   2298       0    0       0       0    0     9       0       0     43    0    0    0     429  168    0    0       0    3  1437       0     308       0    0    9   37       0     0   64    0       0    0    6    0   69   472    0    0    0    0       0    0    580   10       0       0       0   79   25    0    0    0       0       0       0    0   34       0       0       0    0    0    19   11    2    0       0    0   24       0    0    0   447    2176    0            0    0       0    0       0       0    0    0       0       0       0    2       0    0    0       0       0    0    4       0       0    0    0    0       0    0       0   89    0    232    0    0    0    0    0    0     699       0    0    0   45       0       0       175       0    98   163    0       0    2       0       0    0    0       0   744
Romania                             0    0    0     0    0       0    0      68    0    0    0    0    0    0     3   27    5     0    0    0       0       0    42    0       0    12      1       0    0      0    0    0    10       0    0    0  1043    0       0       0    0    0    0       0    0       0    0    0    0    0    0    2    0    0    0     0    0     10       0    0       0       0    0     0       0       0      0    0    0    0      55   15    0    0       0    0    54       0       9       0    0    0    0       0     0    1    0       0    0    0    0    0     3    0    0    0    0       0    0      0    0       0       0       0    5    0    0    0    0       0       0       0    0   27       0       0       0    0    0     0    0    0    0       0    0    0       0    0    0     0     183    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    3    0      1    0    0    0    0    0    0      75       0    0    0    0       0       0        42       0     0     3    0       0    0       0       0    0    0       0     0
Tunisia                             0    0    0   102    0       0    0     384    0    0    0    0    0    0    16    0    0    26    0    0       0       0     0    0       0     0      0       0    0     42   10    4     2       0    0    0    72    0       0       0    0    0    0       0    0       0    0    0    0    0    0   44    8    0    0     8    0     22       0    0       0       0    0     0       0       0      4    0    0    0      20    0    0    0       0    8    22       0       2       0    0    2    0       0     0    2    0       0    0    2    0    0     0    0    0    0    2       0    0    240    0       0       0       0   10    0    0    0    0       0       0       0    0   10       0       0       0    0    0     4    0    0    0       0    0    6       0    0    0    28     150    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    2    0    0       0    0       0    0    0      0    0    0    0    0    0    0       8       0    0    0    6       0       0         8       0     0    28    0       0    0       0       0    0    0       0     0
Italy                               0    0    0    86    0       0    0    3008    0    6    4    1    0    0  1079   16    7     4    1    0       0       0   146    0       0   383     54       0    0     45    0   83  1491       0    0    2   462    0       0       0    1    0    0       0    0       0    0    0    0    5    0  265    5    2    0   167    0   1912       0    0       0       0    0   109       0       0     67    0    0    0     147   32    0    0       0    2  1545       0     238       0    0    0   10       0     0    4    0       0    0   13    0    6   679    5    3    0   10       0    0   1499    0       0       0       0   34    0    0    0    0       0       0       0    0   21       0       0       0    0    0   158    3    0    0       0    0    5       0    0    0  1311     570    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0   10       0       0   28    0    0       0    0       0   55    0    218    0    0    0    0    0    0     490       0    0    0   12       0       0       623       0    85  1726    0       0    0       0       0    0    0       0    33
Vietnam                             0    0    0    36    0       0    0     334    0    0    0    0    0    0     6   26    0     2    0    0       0       0    44    0       0     2      2       0    0      2   56    6    14       0    0    0    30    0       0       0    0    0    0       0    0       0    0    0    0    0    0    4    0    2    0    44    0    126       0    0       0       0    0     0       0       0    100    0    0    0      12    4    0    0       0    4  5920       0       4       0    0    0   46       0     0    0    0       0    0    2    0    0    24   32    0    0    0       0    0      4    0       0       0       0   24    0    0    0    0       0       0       0    0    0       0       0       0    0    0     0    0    0    0       0    0    0       0    0    0    14      22    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0   12    0      6    0    0    0    0    0    0      96       0    0    0    4       0       0       329       0     0     4    0       0    0       0       0    0    0       0    20
Azerbaijan                          0    0    0     5    0       0    0      74    0    0    0    0    0    0    20    0    4     0    0    0       0       0     0    0       0     8      1       0    0      0    0    0     2       0    0    1   113    0       0       0    0    0    0       0    0       0    0    0    0    0    0    3    2    0    0    36    0     15       0    0       0       0    0     0       0       0      0    0    0    0       7    0    0    1       0    0    11       0       1       0    0    1    0       0     0    0    0       0    0    1    0    0     4    0    0    0    0       0    0     14    0       0       0       0    4    0    0    0    0       0       0       0    0    4       0       0       0    0    0     2    0    0    0       0    0    0       0    0    0     7       9    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    5    0      1    0    0    0    0    0    0       4       0    0    0    1       0       0         0       0    56    49    0       0    0       0       0    0    0       0     1
Serbia                              0    0    0     0    0       0    0      78    0    0    0    0    0    0     0    0   16     0    4    0       0       0    16    0       0     4      0       0    0      0    0    0     0       0    0    0     6    0       0       0    0    0    0       0    0       0    0    0    0    0    0    2    0    0    0     0    0     10       0    0       0       0    0     4       0       0      0    0    0    0       8    8    0    0       0    2    74       0      12       0    0    0    0       0     0    2    0       0    0    0    0    0     0    0    0    0    0       0    0      7    0       0       0       0    0    0    0    0    0       0       0       0    0   16       0       0       0    0    0     4    0    0    0       0    0    0       0    0    0     8     172    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    6    0    0       0    0       0    1    0      2    0    0    0    0    0    0      64       0    0    0    2       0       0         0       0    68     1    0       0    0       0       0    0    0       0     6
Dominican Republic                  0    0    0    15    0       0    0      18    0    0    0    0    0    0    12   39    0     0    0    0       0       0     0    0       0     3      0       0    3     21   39    0    85       0    0    0    18    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0   15    0    18    0   2238       0    0       0       0    0     0       0       0      0    0    0    0       0    6    0    0       0    0     9       0      33       0    0    0   39       0     0    3    0       0    0    6    0    0     6    0    0    0    0       0    0      3    0       0       0       0  143    0    0    0    0       0       0       0    0   39       0       0       0    0    0     0    0    0    0       0    0    3       0    0    0    12      36    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    6    0    0       0    0       0    0    0     24    0    0    0    0    0    0       6       0    0    0    9       0       0         9       0     3     6    0       0    0       0       0    0    0       0    30
Canada                              0    6    0   195    0       0    0     793    0    6  216    3    0    0   573  121   45    89    3    0       0       0    72    0       0   305     51       0    6    167   42  494   659       0    0  256  1550    0       0       0   63    0    0       0    0       0    0    0    0    0   12   48    9   33    0  1040    0   4614       0    0       0       0    0    27       0       0   1342    0    0    0    1825   93    0    3       0   60   794       0     167       0    3    6    0       0    22   31    0       0    0   32    0    3   855   21    6    0    3       0    0    434    0       0       0       0  238   21    0    0    0       0       0       0    0   69       0       0       0    0    0   111    0    8    0       0    0   18       0    0    0   708     510    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    9       0       0   31    0    0       0    0       0   40    0    265    0    0    0    0    0    0     494       0    0    0   61       0       0      1196       0   219   846    0       0    3       0       0    9    0       6   380
South Africa                        0    0    0     3    0       0    0       6    0    0    0    0    0    0     1    0    7  1611    0    0       0       0     0    0       0     3      0       0    0      0    0    0    10       0    0    0     3    0       0       0    0    0    0       0    0       0    0    0    0    0    0    1    0    1    0     1    0     26       0    0       0       0    0     0       0       0      0    0    0    0    3850    0    0    0       0    0     5       0       2       0    0    0   20       0     0    0    0       0    0    1    0    0     0    0    0    0    0       0    0      0    0       0       0       0   56    0    0    0    0       0       0       0    0    0       0       0       0    0    0     0    0    0    0       0    0    0       0    0    0     5       8    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    1    0      0    0    0    0    0    0    0       3       0    0    0    7       0       0         4       0     4     5    0       0    0       0       0    0    0       0     0
Angola                              2    0    0     6    0       0    0      20    0    0    0    0    0    0     6    0    0    82    0    0       0       0     0    0       0     6      0       0    0      0    0    0     6       0    0    0    16    0       0       0    0    0    0       0    0       0    0    0    0    6    0    2    0    4    0     0    0    214       0    0       0       0    0     2       0       0      0    0    0    0      84    2    0    0       0    2    10       0      21       0    0    0   12       0     0    0    0       0    0    6    0    0     2   12    0    0    0       0    0      0    0       0       0       0   24    0    0    0    0       0       0       0    0   12       0       0       0    0    0     0    6    0    0       0    0    4       0    0    0     8    1179    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    2    0    0       0    0       0    6    0    528    0    0    0    0    0    0     286       0    0    0   12       0       0         0       0     0     4    0       0    0       0       0    0    0       0     0
Egypt                               0    1    0   187    0       0    0     241    0    0    2    5    0    0    26   14    4    35    8    0       0       0     8    0       0    71      0       0    0     67   28    6   254       0    0    4  1070    0       0       0    1    0    0       0    0       0    0    0    0    8    2    4    1    7    0    32    0   2710       0    0       0       0    0     0       0       0     15    0    0    0     351   28    0    0       0    2   315       0     208       0    2    0   24       0     0   28    0       0    0    1    0   35    42   20    0    0    0       0    0     61    0       0       0       0   46    0    0    0    0       0       0       0    0   37       0       0       0    0    0    10   15    0    0       0    0    5       0    0    0    13     900    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0   23    0    0       0    0       0   22    0    299    0    0    0    0    0    0     112       0    0    0   39       0       0         4       0     4    49    0       0    8       0       0    0    0       0    43
Algeria                             0    0    0    12    0       0    0       7    0    0    0    0    0    0     0    0    0     6    0    0       0       0     4    0       0     2     54       0    0      6    0    2     0       0    0    2     2    0       0       0    0    0    0       0    0       0    0    0    0    0    0    2    0    0    0    16    0     18       0    0       0       0    0     0       0       0      6    0    0    0      14    0    0    0       0    0     7       0      16       0    0    0   14       0     0    3    0       0    0    0    0    0     6    0    0    2    0       0    0      0    0       0       0       0   30    0    0    0    0       0       0       0    0   14       0       0       0    0    0     2    2    0    0       0    0    4       0    0    0     0      96    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    4    0      0    0    0    0    0    0    0      26       0    0    0   10       0       0        14       0     0     0    0       0    0       0       0    0    0       0     0
Kenya                               0    0    0    98    0       0    0     164    0    0    0    0    0    0    35    0   14    44    0    0       0       0     8    0       0    12      8       0    0     26    0    8   148       0    0    2    66    0       0       0    0    0    0       0    0       0    0    0    0    0    0    2    0    0    0    26    0    364       0    0       0       0    0     0       0       0      1    0    0    0     262    1    0    0       0    0    47       0      10       0    0    0   28       0     0    2    0       0    0    4    0    0    64    0    0    0    0       0    0      0    0       0       0       0   28    0    0    0    0       0       0       0    0   28       0       0       0    0    0  1017   14    2    0       0    0    2       0    0    0    10       1    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    2       0       0    0    0    0       0    0       0    0    0     10    0    0    0    0    0    0       0       0    0    0  286       0       0         8       0     0    40    0       0    0       0       0    0    0       0    12
Cameroon                            0    0    0     5    0       0    0       1    0    0    0    0    0    0     0    0    0     1    0    0       0       0     2    0       0     0      0       0    0      0    0    0     4       0    0    0     2    0       0       0    1    0    0       0    0       0    0    0    0    0    0    0    0    1    0     0    0     10       0    0       0       0    0     0       0       0      0    0    0    0       3    0    0    0       0    0     1       0       0       0    0    0    0       0     0    0    0       0    0    1    0    0     1    0    0    0    0       0    0      2    0       0       0       0    0    0    0    0    0       0       0       0    0    0       0       0       0    0    0     0    0    0    0       0    0    0       0    0    0     0       0    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    0    0      1    0    0    0    0    0    0       0       0    0    0    2       0       0         5       0     0     1    0       0    0       0       0    0    0       0     2
Myanmar                             2    0    0    23    0       0    0     110    0    0    0    0    0    0     3    0    0     0    0    0       0       0     4    0       0     1      2       0    0      2    0    0     4       0    0    0     8    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0     0    0     52       0    0       0       0    0     2       0       0      2    0    0    0       9   30    0    0       0    0    90       0       0       0    0    0    1       0     0    0    0       0    0    0    0    0    19   12    0    1    0       0    0      1    0       0       0       0   26    0    0    0    0       0       0       0    0   30       0       0       0    0    0     0    0    0    0       0    0    1       0    0    0    16      20    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    0    0    0       0    0       0    5    0      2    0    0    0    0    0    0      44       0    0    0    2       0       0       750       0     1     2    0       0    0       0       0    0    0       0    30
Central African Republic            0    0    0     1    0       0    0       0    0    0    0    0    0    0     1    0    0     0    0    0       0       0     0    0       0     0      0       0    0      3    6    0     0       0    0    0     2    0       0       0    0    0    0       0    0       0    0    0    0    0    0    0    0    0    0     0    0      5       0    0       0       0    0     0       0       0      0    0    0    0       1    0    0    0       0    0     1       0       0       0    0    0    6       0     0    0    0       0    0    0    0    0     0    0    0    0    0       0    0      0    0       0       0       0    6    0    0    0    0       0       0       0    0    6       0       0       0    0    0     0    0    0    0       0    0    0       0    0    0     0       2    0            0    0       0    0       0       0    0    0       0       0       0    0       0    0    0       0       0    0    0       0       0    1    0    0       0    0       0    0    0      0    0    0    0    0    0    0       0       0    0    0    0       0       0         1       0     0     0    0       0    0       0       0    0    0       0     5
