"id","citylabel","locatedIn","callret-3"
1545170,"Barcelona, Venezuela","http://dbpedia.org/resource/Venezuela","en"
1545170,"Barcelona (Venezuela)","http://dbpedia.org/resource/Venezuela","de"
1545170,"Barcelona (Venezuela)","http://dbpedia.org/resource/Venezuela","es"
1545170,"Barcelona (Venezuela)","http://dbpedia.org/resource/Venezuela","fr"
1545170,"Barcelona (Venezuela)","http://dbpedia.org/resource/Venezuela","it"
1545170,"バルセロナ (ベネズエラ)","http://dbpedia.org/resource/Venezuela","ja"
1545170,"Barcelona (miasto w Wenezueli)","http://dbpedia.org/resource/Venezuela","pl"
1545170,"Barcelona (Venezuela)","http://dbpedia.org/resource/Venezuela","nl"
1545170,"Barcelona (Venezuela)","http://dbpedia.org/resource/Venezuela","pt"
1545170,"Барселона (Венесуэла)","http://dbpedia.org/resource/Venezuela","ru"
1545170,"巴塞羅那 (安索阿特吉州)","http://dbpedia.org/resource/Venezuela","zh"
13882056,"Birmingham","http://dbpedia.org/resource/United_Kingdom","en"
13882056,"برمنغهام (إنجلترا)","http://dbpedia.org/resource/United_Kingdom","ar"
13882056,"Birmingham","http://dbpedia.org/resource/United_Kingdom","de"
13882056,"Birmingham","http://dbpedia.org/resource/United_Kingdom","es"
13882056,"Birmingham","http://dbpedia.org/resource/United_Kingdom","fr"
13882056,"Birmingham","http://dbpedia.org/resource/United_Kingdom","it"
13882056,"バーミンガム","http://dbpedia.org/resource/United_Kingdom","ja"
13882056,"Birmingham (Verenigd Koninkrijk)","http://dbpedia.org/resource/United_Kingdom","nl"
13882056,"Birmingham","http://dbpedia.org/resource/United_Kingdom","pl"
13882056,"Birmingham","http://dbpedia.org/resource/United_Kingdom","pt"
13882056,"Бирмингем","http://dbpedia.org/resource/United_Kingdom","ru"
13882056,"伯明翰","http://dbpedia.org/resource/United_Kingdom","zh"
57447,"Charlotte, North Carolina","http://dbpedia.org/resource/United_States","en"
57447,"تشارلوت (كارولاينا الشمالية)","http://dbpedia.org/resource/United_States","ar"
57447,"Charlotte (North Carolina)","http://dbpedia.org/resource/United_States","de"
57447,"Charlotte","http://dbpedia.org/resource/United_States","es"
57447,"Charlotte (Caroline du Nord)","http://dbpedia.org/resource/United_States","fr"
57447,"Charlotte (Carolina del Nord)","http://dbpedia.org/resource/United_States","it"
57447,"シャーロット (ノースカロライナ州)","http://dbpedia.org/resource/United_States","ja"
57447,"Charlotte","http://dbpedia.org/resource/United_States","pl"
57447,"Charlotte (North Carolina)","http://dbpedia.org/resource/United_States","nl"
57447,"Charlotte (Carolina do Norte)","http://dbpedia.org/resource/United_States","pt"
57447,"Шарлотт (Северная Каролина)","http://dbpedia.org/resource/United_States","ru"
57447,"夏洛特 (北卡羅來納州)","http://dbpedia.org/resource/United_States","zh"
59251,"Gold Coast, Queensland","http://dbpedia.org/resource/Australia","en"
59251,"غولد كوست","http://dbpedia.org/resource/Australia","ar"
59251,"Gold Coast (Australien)","http://dbpedia.org/resource/Australia","de"
59251,"Gold Coast (Australia)","http://dbpedia.org/resource/Australia","es"
59251,"Gold Coast","http://dbpedia.org/resource/Australia","it"
59251,"Gold Coast","http://dbpedia.org/resource/Australia","fr"
59251,"ゴールドコースト (クイーンズランド州)","http://dbpedia.org/resource/Australia","ja"
59251,"Gold Coast","http://dbpedia.org/resource/Australia","pl"
59251,"Gold Coast","http://dbpedia.org/resource/Australia","nl"
59251,"Gold Coast (Queensland)","http://dbpedia.org/resource/Australia","pt"
59251,"Голд-Кост","http://dbpedia.org/resource/Australia","ru"
59251,"黄金海岸 (澳大利亚)","http://dbpedia.org/resource/Australia","zh"
57707,"Indianapolis","http://dbpedia.org/resource/United_States","en"
57707,"إنديانابوليس (إنديانا)","http://dbpedia.org/resource/United_States","ar"
57707,"Indianapolis","http://dbpedia.org/resource/United_States","de"
57707,"Indianápolis","http://dbpedia.org/resource/United_States","es"
57707,"Indianapolis","http://dbpedia.org/resource/United_States","fr"
57707,"Indianapolis","http://dbpedia.org/resource/United_States","it"
57707,"インディアナポリス","http://dbpedia.org/resource/United_States","ja"
57707,"Indianapolis","http://dbpedia.org/resource/United_States","nl"
57707,"Indianapolis","http://dbpedia.org/resource/United_States","pl"
57707,"Indianápolis","http://dbpedia.org/resource/United_States","pt"
57707,"Индианаполис","http://dbpedia.org/resource/United_States","ru"
57707,"印第安納波利斯","http://dbpedia.org/resource/United_States","zh"
